sci_name;common_name;ebird_code;class;order;in_v2;in_v3;label_af;label_ar;label_cs;label_da;label_de;label_en;label_en_uk;label_es;label_fi;label_fr;label_hu;label_it;label_ja;label_ko;label_nl;label_no;label_pl;label_pt;label_ro;label_ru;label_sk;label_sl;label_sv;label_th;label_tr;label_uk;label_zh
Vanellus gregarius;Sociable Lapwing;soclap1;Aves;Charadriiformes;False;True;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing;Sociable Lapwing
Vanellus indicus;Red-wattled Lapwing;rewlap1;Aves;Charadriiformes;True;True;Red-wattled Lapwing;قطقاط أحمر اللغد;čejka černoprsá;Indisk Vibe;Rotlappenkiebitz;Red-wattled Lapwing;Red-wattled Lapwing;Avefría India;kenttähyyppä;Vanneau indien;Bibircses bíbic;Red-wattled Lapwing;インドトサカゲリ;Red-wattled Lapwing;Indische Kievit;brillevipe;czajka indyjska;Red-wattled Lapwing;Nagâț indian;Украшенный чибис;cíbik laločnatý;Indijska priba;Rödflikvipa;นกกระแตแต้แว้ด, นกต้อยตีวิด;Büyük Kızkuşu;Чайка індійська;Red-wattled Lapwing
Vanellus leucurus;White-tailed Lapwing;whtlap1;Aves;Charadriiformes;True;True;White-tailed Lapwing;قطقاط أبيض الذيل;keptuška běloocasá;Sumpvibe;Weißschwanzkiebitz;White-tailed Lapwing;White-tailed Lapwing;Avefría Coliblanca;suohyyppä;Vanneau à queue blanche;Fehérfarkú lilebíbic;Pavoncella codabianca;オジロゲリ;White-tailed Lapwing;Witstaartkievit;sumpvipe;czajka stepowa;White-tailed Lapwing;Nagâț cu coadă albă;Белохвостая пигалица;cíbik bielochvostý;Belorepa priba;Sumpvipa;White-tailed Lapwing;Ak Kuyruklu Kızkuşu;Чайка білохвоста;White-tailed Lapwing
Vanellus lugubris;Senegal Lapwing;senlap1;Aves;Charadriiformes;False;True;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing;Senegal Lapwing
Vanellus malabaricus;Yellow-wattled Lapwing;yewlap2;Aves;Charadriiformes;True;True;Yellow-wattled Lapwing;Yellow-wattled Lapwing;čejka indická;Yellow-wattled Lapwing;Gelblappenkiebitz;Yellow-wattled Lapwing;Yellow-wattled Lapwing;Avefría Malabar;Yellow-wattled Lapwing;Vanneau de Malabar;Yellow-wattled Lapwing;Yellow-wattled Lapwing;キトサカゲリ;Yellow-wattled Lapwing;Malabarkievit;hinduvipe;czajka brunatna;Yellow-wattled Lapwing;Yellow-wattled Lapwing;Малабарский чибис;cíbik uzdičkový;Yellow-wattled Lapwing;Gulflikvipa;Yellow-wattled Lapwing;Sarı İbikli Kızkuşu;Чайка малабарська;Yellow-wattled Lapwing
Vanellus melanocephalus;Spot-breasted Lapwing;spblap1;Aves;Charadriiformes;True;True;Spot-breasted Lapwing;Spot-breasted Lapwing;čejka etiopská;Spot-breasted Lapwing;Strichelbrustkiebitz;Spot-breasted Lapwing;Spot-breasted Lapwing;Avefría Pechipinta;Spot-breasted Lapwing;Vanneau d'Abyssinie;Spot-breasted Lapwing;Spot-breasted Lapwing;ムナフタゲリ;Spot-breasted Lapwing;Ethiopische Kievit;flekkvipe;czajka czarnogłowa;Spot-breasted Lapwing;Spot-breasted Lapwing;Пестрогрудый чибис;cíbik škvrnitoprsý;Spot-breasted Lapwing;Etiopisk vipa;Spot-breasted Lapwing;Benekli Kızkuşu;Чайка чорноголова;Spot-breasted Lapwing
Vanellus melanopterus;Black-winged Lapwing;blwlap1;Aves;Charadriiformes;True;True;Grootswartvlerkkiewiet;Black-winged Lapwing;čejka černokřídlá;Black-winged Lapwing;Schwarzflügelkiebitz;Black-winged Lapwing;Black-winged Lapwing;Avefría Lugubroide;Black-winged Lapwing;Vanneau à ailes noires;Black-winged Lapwing;Black-winged Lapwing;ハグロゲリ;Black-winged Lapwing;Zwartvleugelkievit;fjellsørgevipe;czajka czarnoskrzydła;Black-winged Lapwing;Black-winged Lapwing;Чернокрылый чибис;cíbik čiernokrídly;Black-winged Lapwing;Ljus sorgvipa;Black-winged Lapwing;Kara Kanatlı Kızkuşu;Чайка чорнокрила;Black-winged Lapwing
Vanellus miles;Masked Lapwing;maslap1;Aves;Charadriiformes;True;True;Masked Lapwing;Masked Lapwing;čejka australská;Masked Lapwing;Maskenkiebitz;Masked Lapwing;Masked Lapwing;Avefría Militar Norteña;Masked Lapwing;Vanneau soldat;Masked Lapwing;Masked Lapwing;ズグロトサカゲリ;Masked Lapwing;Maskerkievit;maskevipe;czajka płatkolica;Masked Lapwing;Masked Lapwing;Солдатский чибис;cíbik maskový;Masked Lapwing;Maskvipa;Masked Lapwing;Miğferli Kızkuşu;Чайка білошия;Masked Lapwing
Vanellus resplendens;Andean Lapwing;andlap1;Aves;Charadriiformes;True;True;Andean Lapwing;Andean Lapwing;čejka andská;Andean Lapwing;Andenkiebitz;Andean Lapwing;Andean Lapwing;Avefría Andina;Andean Lapwing;Vanneau des Andes;Andean Lapwing;Andean Lapwing;アンデスツメバゲリ;Andean Lapwing;Andeskievit;andesvipe;czajka andyjska;Andean Lapwing;Andean Lapwing;Андский чибис;cíbik andský;Andska priba;Andinsk vipa;Andean Lapwing;And Kızkuşu;Чайка андійська;Andean Lapwing
Vanellus senegallus;African Wattled Lapwing;watlap1;Aves;Charadriiformes;True;True;Lelkiewiet;Wattled Lapwing;čejka žlutonohá;Wattled Lapwing;Senegalkiebitz;Wattled Lapwing;Wattled Lapwing;Avefría Senegalesa;Wattled Lapwing;Vanneau du Sénégal;Wattled Lapwing;Wattled Lapwing;トサカゲリ;Wattled Lapwing;Lelkievit;stripehodevipe;czajka płowa;Wattled Lapwing;Wattled Lapwing;Сенегальский чибис;cíbik žltonohý;Wattled Lapwing;Vårtvipa;Wattled Lapwing;Afrika Kızkuşu;Чайка сенегальська;Wattled Lapwing
Vanellus spinosus;Spur-winged Lapwing;spwlap1;Aves;Charadriiformes;True;True;Spoorvlerkkiewiet;قطقاط اشوك;čejka trnitá;Sporevibe;Spornkiebitz;Spur-winged Lapwing;Spur-winged Lapwing;Avefría Espinosa;kynsihyyppä;Vanneau à éperons;Tüskés bíbic;Pavoncella armata;ツメバゲリ;Spur-winged Lapwing;Sporenkievit;sporevipe;czajka szponiasta;Spur-winged Lapwing;Nagâț sudic;Шпорцевый чибис;cíbik tŕňokrídly;Ostrogasta priba;Sporrvipa;Spur-winged Lapwing;Mahmuzlu Kızkuşu;Чайка шпорова;Spur-winged Lapwing
Vanellus tectus;Black-headed Lapwing;blhlap1;Aves;Charadriiformes;True;True;Black-headed Lapwing;قطقاط اسود الراس;čejka černohlavá;Sothovedet Vibe;Schwarzschopfkiebitz;Black-headed Lapwing;Black-headed Lapwing;Avefría Coletuda;Black-headed Lapwing;Vanneau à tête noire;Sisakos bíbic;Black-headed Lapwing;ズグロゲリ;Black-headed Lapwing;Zwartkopkievit;svarttoppvipe;czajka czarnoczuba;Black-headed Lapwing;Nagâț cu cap negru;Чернохохлый чибис;cíbik čiernochochlatý;Črnoglava priba;Svarthuvad vipa;Black-headed Lapwing;Kara Tepeli Kızkuşu;Чайка чорночуба;Black-headed Lapwing
Vanellus tricolor;Banded Lapwing;banlap1;Aves;Charadriiformes;True;True;Banded Lapwing;Banded Lapwing;čejka krátkonohá;Banded Lapwing;Schwarzbandkiebitz;Banded Lapwing;Banded Lapwing;Avefría Tricolor;Banded Lapwing;Vanneau tricolore;Banded Lapwing;Banded Lapwing;ムナオビトサカゲリ;Banded Lapwing;Australische Kievit;beltevipe;czajka białogardła;Banded Lapwing;Banded Lapwing;Трёхцветный чибис;cíbik bielohrdlý;Banded Lapwing;Bältesvipa;Banded Lapwing;Alaca Kızkuşu;Чайка білогорла;Banded Lapwing
Vanellus vanellus;Northern Lapwing;norlap;Aves;Charadriiformes;True;True;Northern Lapwing;قطقاط شمالي;čejka chocholatá;Vibe;Kiebitz;Northern Lapwing;Northern Lapwing;Avefría Europea;töyhtöhyyppä;Vanneau huppé;Bíbic;Pavoncella;タゲリ;댕기물떼새;Kievit;vipe;czajka;Northern Lapwing;Nagâț;Чибис;cíbik chochlatý;Priba;Tofsvipa;นกกระแตหงอน;Kızkuşu;Чайка чубата;小辮鴴
Vanga curvirostris;Hook-billed Vanga;hobvan1;Aves;Passeriformes;True;True;Hook-billed Vanga;Hook-billed Vanga;Hook-billed Vanga;Hook-billed Vanga;Hakenschnabelvanga;Hook-billed Vanga;Hook-billed Vanga;Vanga Picudo;Hook-billed Vanga;Vanga écorcheur;Hook-billed Vanga;Hook-billed Vanga;カギハシオオハシモズ;Hook-billed Vanga;Haaksnavelvanga;kroknebbvanga;wanga hakodzioba;Hook-billed Vanga;Hook-billed Vanga;Крючкоклювая ванга;vanga hákozobá;Hook-billed Vanga;Kroknäbbsvanga;Hook-billed Vanga;Zalim Vanga;Ванга гачкодзьоба;Hook-billed Vanga
Varecia variegata;ruffed lemur;;Mammalia;Primates;False;True;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur;ruffed lemur
Vauriella albigularis;White-throated Jungle Flycatcher;negjuf1;Aves;Passeriformes;False;True;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher;White-throated Jungle Flycatcher
Vauriella gularis;Eyebrowed Jungle Flycatcher;eyjfly1;Aves;Passeriformes;False;True;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher;Eyebrowed Jungle Flycatcher
Velarifictorus aspersus;Velarifictorus aspersus;;Insecta;Orthoptera;False;True;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus;Velarifictorus aspersus
