sci_name;common_name;ebird_code;class;order;in_v2;in_v3;label_af;label_ar;label_cs;label_da;label_de;label_en;label_en_uk;label_es;label_fi;label_fr;label_hu;label_it;label_ja;label_ko;label_nl;label_no;label_pl;label_pt;label_ro;label_ru;label_sk;label_sl;label_sv;label_th;label_tr;label_uk;label_zh
Clibanornis dendrocolaptoides;Canebrake Groundcreeper;cangro1;Aves;Passeriformes;True;True;Canebrake Groundcreeper;Canebrake Groundcreeper;Canebrake Groundcreeper;Canebrake Groundcreeper;Halsflecken-Baumspäher;Canebrake Groundcreeper;Canebrake Groundcreeper;Espinero Tacuatí;Canebrake Groundcreeper;Anabate des bambous;Canebrake Groundcreeper;Canebrake Groundcreeper;タンビアレチカマドドリ;Canebrake Groundcreeper;Rietstekelkruin;krattkryper;terkotnik;Canebrake Groundcreeper;Canebrake Groundcreeper;Бамбуковый лесовик;lístiar trstinový;Canebrake Groundcreeper;Bambukrypare;Canebrake Groundcreeper;Şekerkamışı Yerkarıştıran;М’якохвіст бамбуковий;Canebrake Groundcreeper
Clibanornis erythrocephalus;Henna-hooded Foliage-gleaner;hhfgle1;Aves;Passeriformes;True;True;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;Braunschulter-Baumspäher;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;Ticotico Cabecirrufo Occidental;Henna-hooded Foliage-gleaner;Anabate à tête orange;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;アカズキンカマドドリ;Henna-hooded Foliage-gleaner;Roodkopbladspeurder;hennaløvgransker;skrytogąszcz rudogłowy;Henna-hooded Foliage-gleaner;Henna-hooded Foliage-gleaner;Красноголовый лесовик;lístiar kapucňový;Henna-hooded Foliage-gleaner;Hennahuvad lövletare;Henna-hooded Foliage-gleaner;Kınalı Yaprakkarıştıran;Філідор рудоголовий;Henna-hooded Foliage-gleaner
Clibanornis rectirostris;Henna-capped Foliage-gleaner;ccfgle1;Aves;Passeriformes;True;True;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;Rötelbaumspäher;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;Ticotico Cabecirrufo Oriental;Chestnut-capped Foliage-gleaner;Anabate à bec droit;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;チャボウシカマドドリ;Chestnut-capped Foliage-gleaner;Dunbekbladspeurder;rødløvgransker;kokotnik;Chestnut-capped Foliage-gleaner;Chestnut-capped Foliage-gleaner;Рыжий лесовик;lístiar hnedý;Chestnut-capped Foliage-gleaner;Kroknäbbad lövletare;Chestnut-capped Foliage-gleaner;Kızıl Tepeli Yaprakkarıştıran;Філідор рудий;Chestnut-capped Foliage-gleaner
Clibanornis rubiginosus;Ruddy Foliage-gleaner;rufgle1;Aves;Passeriformes;True;True;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;Zimtkehl-Baumspäher;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;Ticotico Castaño;Ruddy Foliage-gleaner;Anabate rubigineux;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;サビイロカマドドリ;Ruddy Foliage-gleaner;Rosse Bladspeurder;glostrupeløvgransker;skrytogąszcz ciemny;Ruddy Foliage-gleaner;Ruddy Foliage-gleaner;Коричневогорлый лесовик;lístiar hnedkavý;Ruddy Foliage-gleaner;Rödbrun lövletare;Ruddy Foliage-gleaner;Kızıl Yaprakkarıştıran;Філідор-лісовик іржастий;Ruddy Foliage-gleaner
Clibanornis rufipectus;Santa Marta Foliage-gleaner;samfog1;Aves;Passeriformes;True;True;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;Rostbrust-Baumspäher;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;Ticotico de Santa Marta;Santa Marta Foliage-gleaner;Anabate de Santa Marta;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;サンタマルタカマドドリ;Santa Marta Foliage-gleaner;Santa-Martabladspeurder;santamartaløvgransker;skrytogąszcz kolumbijski;Santa Marta Foliage-gleaner;Santa Marta Foliage-gleaner;Сантамартийскый лесовик;lístiar zemný;Santa Marta Foliage-gleaner;Santamartalövletare;Santa Marta Foliage-gleaner;Santa Marta Yaprakkarıştıranı;Філідор колумбійський;Santa Marta Foliage-gleaner
Clidophleps distanti;Clidophleps distanti;;Insecta;Hemiptera;False;True;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti;Clidophleps distanti
Climacteris affinis;White-browed Treecreeper;whbtre2;Aves;Passeriformes;False;True;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper;White-browed Treecreeper
Climacteris erythrops;Red-browed Treecreeper;rebtre1;Aves;Passeriformes;False;True;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper;Red-browed Treecreeper
Climacteris melanurus;Black-tailed Treecreeper;bkttre1;Aves;Passeriformes;False;True;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper;Black-tailed Treecreeper
Climacteris picumnus;Brown Treecreeper;brotre2;Aves;Passeriformes;True;True;Brown Treecreeper;Brown Treecreeper;Brown Treecreeper;Brown Treecreeper;Spechtbaumrutscher;Brown Treecreeper;Brown Treecreeper;Corretroncos Pardo;Brown Treecreeper;Échelet brun;Brown Treecreeper;Brown Treecreeper;チャイロキノボリ;Brown Treecreeper;Grijze Kruiper;brunbarkkryper;korołaz brunatny;Brown Treecreeper;Brown Treecreeper;Бурая ложнопищуха;lezec hnedý;Brown Treecreeper;Brun eukalyptuskrypare;Brown Treecreeper;Kahverengi Tırmaşık;Королаз широкобровий;Brown Treecreeper
Climacteris rufus;Rufous Treecreeper;ruftre3;Aves;Passeriformes;False;True;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper;Rufous Treecreeper
Clinopsalta adelaida;Clinopsalta adelaida;;Insecta;Hemiptera;False;True;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida;Clinopsalta adelaida
Clinopsalta autumna;Clinopsalta autumna;;Insecta;Hemiptera;False;True;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna;Clinopsalta autumna
Clytoctantes alixii;Recurve-billed Bushbird;rebbus1;Aves;Passeriformes;True;True;Recurve-billed Bushbird;Recurve-billed Bushbird;Recurve-billed Bushbird;Recurve-billed Bushbird;Bootschnabel-Ameisenwürger;Recurve-billed Bushbird;Recurve-billed Bushbird;Batará Piquicurvo;Recurve-billed Bushbird;Batara à bec retroussé;Recurve-billed Bushbird;Recurve-billed Bushbird;ソリハシヤブアリドリ;Recurve-billed Bushbird;Dikbekmiervogel;kullgrovnebb;łódkodziób kolumbijski;Recurve-billed Bushbird;Recurve-billed Bushbird;Колумбийский копьеклюв;horezob podivný;Recurve-billed Bushbird;Båtnäbbad myrtörnskata;Recurve-billed Bushbird;Kıvrık Gagalı Karıncaavcısı;Кущівник-товстодзьоб колумбійський;Recurve-billed Bushbird
Clytoctantes atrogularis;Rondonia Bushbird;ronbus1;Aves;Passeriformes;False;True;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird;Rondonia Bushbird
Clytolaema rubricauda;Brazilian Ruby;;;;True;False;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;rubinek;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby;Brazilian Ruby
Clytomyias insignis;Orange-crowned Fairywren;orcfai1;Aves;Passeriformes;False;True;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren;Orange-crowned Fairywren
Clytorhynchus hamlini;Rennell Shrikebill;renshr1;Aves;Passeriformes;False;True;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill;Rennell Shrikebill
Clytorhynchus nigrogularis;Black-throated Shrikebill;bktshr1;Aves;Passeriformes;False;True;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill;Black-throated Shrikebill
Clytorhynchus pachycephaloides;Southern Shrikebill;soushr2;Aves;Passeriformes;False;True;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill;Southern Shrikebill
Clytorhynchus vitiensis;Fiji Shrikebill;fijshr1;Aves;Passeriformes;True;True;Fiji Shrikebill;Fiji Shrikebill;Fiji Shrikebill;Fiji Shrikebill;Fidschimonarch;Fiji Shrikebill;Fiji Shrikebill;Monarca de Fiyi;Fiji Shrikebill;Monarque des Fidji;Fiji Shrikebill;Fiji Shrikebill;フィジーオオハシヒタキ;Fiji Shrikebill;Fijiklauwiermonarch;fijimonark;dzierzbodziób rdzawoboczny;Fiji Shrikebill;Fiji Shrikebill;Фиджийский олевао;monarch hvízdavý;Fiji Shrikebill;Mindre kroknäbb;Fiji Shrikebill;Fiji Monarkı;Монарх-великодзьоб рудобокий;Fiji Shrikebill
Cnemarchus erythropygius;Red-rumped Bush Tyrant;rrbtyr1;Aves;Passeriformes;False;True;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant;Red-rumped Bush Tyrant
Cnemarchus rufipennis;Rufous-webbed Bush Tyrant;rwbtyr1;Aves;Passeriformes;False;True;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant;Rufous-webbed Bush Tyrant
Cnemathraupis aureodorsalis;Golden-backed Mountain Tanager;gbmtan1;Aves;Passeriformes;False;True;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager;Golden-backed Mountain Tanager
Cnemathraupis eximia;Black-chested Mountain Tanager;bcmtan1;Aves;Passeriformes;False;True;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager;Black-chested Mountain Tanager
Cnemophilus loriae;Loria's Satinbird;lorsat1;Aves;Passeriformes;False;True;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird;Loria's Satinbird
Cnemophilus macgregorii;Crested Satinbird;cresat1;Aves;Passeriformes;False;True;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird;Crested Satinbird
Cnemoscopus rubrirostris;Grey-hooded Bush Tanager;gyhbut1;Aves;Passeriformes;True;True;Gray-hooded Bush Tanager;Gray-hooded Bush Tanager;Gray-hooded Bush Tanager;Gray-hooded Bush Tanager;Rosaschnabeltangare;Gray-hooded Bush Tanager;Grey-hooded Bush Tanager;Tangara Piquirrubio;Gray-hooded Bush Tanager;Tangara capucin;Gray-hooded Bush Tanager;Gray-hooded Bush Tanager;ハイズキンフウキンチョウ;Gray-hooded Bush Tanager;Grijskoptangare;gråhettetanagar;andokapturnik;Gray-hooded Bush Tanager;Gray-hooded Bush Tanager;Серогрудая пипира;stŕňa sivohlavé;Gray-hooded Bush Tanager;Busktangara;Gray-hooded Bush Tanager;Gri Başlı Çalı Tangarası;Каптурник сіроголовий;Gray-hooded Bush Tanager
Cnemotriccus fuscatus;Fuscous Flycatcher;fusfly1;Aves;Passeriformes;True;True;Fuscous Flycatcher;Fuscous Flycatcher;Fuscous Flycatcher;Fuscous Flycatcher;Augenstreif-Schnäppertyrann;Fuscous Flycatcher;Fuscous Flycatcher;Mosquero Parduzco;Fuscous Flycatcher;Moucherolle fuligineux;Fuscous Flycatcher;Fuscous Flycatcher;チャイロハエトリ;Fuscous Flycatcher;Vinktiran;bruntyrann;empidon;Fuscous Flycatcher;Fuscous Flycatcher;Бурый мухолов;pamuchár smútočný;Fuscous Flycatcher;Sotbrun tyrann;Fuscous Flycatcher;Kahverengi Amazon Sinekkapanı;Москверо бурий;Fuscous Flycatcher
Cnipodectes subbrunneus;Brownish Twistwing;brofly1;Aves;Passeriformes;True;True;Brownish Twistwing;Brownish Twistwing;Brownish Twistwing;Brownish Twistwing;Drehschwingentyrann;Brownish Twistwing;Brownish Twistwing;Mosquero Pardo;Brownish Twistwing;Tyranneau brun;Brownish Twistwing;Brownish Twistwing;チャイロタイランチョウ;Brownish Twistwing;Schroefvleugeltiran;brunvrivinge;krętolotek brunatny;Brownish Twistwing;Brownish Twistwing;Коричневый мухоед;ploskozob hnedokrídly;Brownish Twistwing;Brun vridvinge;Brownish Twistwing;Kahverengi Kanatburan Tiran;Мухоїд великий;Brownish Twistwing
Cnipodectes superrufus;Rufous Twistwing;ruftwi1;Aves;Passeriformes;False;True;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing;Rufous Twistwing
Coccopygia melanotis;Swee Waxbill;swewax3;Aves;Passeriformes;True;True;Suidelike Swie;Swee Waxbill;Swee Waxbill;Swee Waxbill;Kapgrünastrild;Swee Waxbill;Swee Waxbill;Estrilda Ventrigualda Meridional;Swee Waxbill;Astrild à joues noires;Swee Waxbill;Swee Waxbill;キバラカエデチョウ;Swee Waxbill;Groenrugastrild (melanotis);krattastrild;szarogłówka czarnolica;Swee Waxbill;Swee Waxbill;Черногорлый астрильд;astrilda sivoprsá;Swee Waxbill;Svartkindad astrild;Swee Waxbill;Yeşil Mumgaga;Астрильд жовточеревий;Swee Waxbill
Coccopygia quartinia;Yellow-bellied Waxbill;yebwax2;Aves;Passeriformes;True;True;Tropiese Swie;Yellow-bellied Waxbill;Yellow-bellied Waxbill;Yellow-bellied Waxbill;Gelbbauchastrild;Yellow-bellied Waxbill;Yellow-bellied Waxbill;Estrilda Ventrigualda Oriental;Yellow-bellied Waxbill;Astrild à ventre jaune;Yellow-bellied Waxbill;Yellow-bellied Waxbill;ヒガシキバラカエデチョウ;Yellow-bellied Waxbill;Geelbuikastrild;gulbukastrild;szarogłówka żółtobrzucha;Yellow-bellied Waxbill;Yellow-bellied Waxbill;Желтобрюхий астрильд;astrilda žltobruchá;Yellow-bellied Waxbill;Grönryggig astrild;Yellow-bellied Waxbill;Gri Başlı Yeşil Mumgaga;Астрильд ефіопський;Yellow-bellied Waxbill
Coccothraustes abeillei;Hooded Grosbeak;hoogro1;Aves;Passeriformes;True;True;Hooded Grosbeak;Hooded Grosbeak;Hooded Grosbeak;Hooded Grosbeak;Kapuzenkernbeißer;Hooded Grosbeak;Hooded Grosbeak;Picogordo Encapuchado;Hooded Grosbeak;Gros-bec à capuchon;Hooded Grosbeak;Hooded Grosbeak;ズグロシメ;Hooded Grosbeak;Witschouderdikbek;tåkekjernebiter;grubodziób czarnogłowy;Hooded Grosbeak;Hooded Grosbeak;Капюшоновый дубонос;glezg kapucňový;Hooded Grosbeak;Svarthuvad stenknäck;Hooded Grosbeak;Başlıklı Kocabaş;Кіпаль чорноголовий;Hooded Grosbeak
Coccothraustes coccothraustes;Hawfinch;hawfin;Aves;Passeriformes;True;True;Hawfinch;شرشور الكرز;dlask tlustozobý;Kernebider;Kernbeißer;Hawfinch;Hawfinch;Picogordo Común;nokkavarpunen;Gros-bec casse-noyaux;Meggyvágó;Frosone;シメ;콩새;Appelvink;kjernebiter;grubodziób;Hawfinch;Botgros;Обыкновенный дубонос;glezg obyčajný;Dlesk;Stenknäck;Hawfinch;Kocabaş;Костогриз;臘嘴雀
Coccothraustes vespertinus;Evening Grosbeak;evegro;Aves;Passeriformes;True;True;Evening Grosbeak;Evening Grosbeak;dlask žlutočelý;Aftenkernebider;Abendkernbeißer;Evening Grosbeak;Evening Grosbeak;Picogordo Vespertino;Evening Grosbeak;Gros-bec errant;Kései meggyvágó;Evening Grosbeak;キビタイシメ;Evening Grosbeak;Avonddikbek;gulbrynkjernebiter;grubodziób białoskrzydły;Evening Grosbeak;Botgros american;Вечерний дубонос;glezg večerný;Zlati debelokljun;Aftonstenknäck;Evening Grosbeak;Sarı Kaşlı Kocabaş;Кіпаль жовтобровий;Evening Grosbeak
Coccycua cinerea;Ash-colored Cuckoo;asccuc1;Aves;Cuculiformes;True;True;Ash-colored Cuckoo;Ash-colored Cuckoo;kukačka kouřová;Ash-colored Cuckoo;Graukehlkuckuck;Ash-colored Cuckoo;Ash-coloured Cuckoo;Cuclillo Ceniciento;Ash-colored Cuckoo;Piaye cendré;Ash-colored Cuckoo;Ash-colored Cuckoo;ハイイロアメリカカッコウ;Ash-colored Cuckoo;Grauwe Koekoek;askegjøk;kukawczyk popielaty;Ash-colored Cuckoo;Ash-colored Cuckoo;Пепельная пиайя;kukavka popolavá;Ash-colored Cuckoo;Grågök;Ash-colored Cuckoo;Kül Rengi Guguk;Кукліло попелястоволий;Ash-colored Cuckoo
Coccycua minuta;Little Cuckoo;litcuc2;Aves;Cuculiformes;True;True;Little Cuckoo;Little Cuckoo;kukačka amazonská;Little Cuckoo;Rötelkuckuck;Little Cuckoo;Little Cuckoo;Cuco Ardilla Menor;Little Cuckoo;Petit Piaye;Little Cuckoo;Little Cuckoo;ヒメリスカッコウ;Little Cuckoo;Kleine Eekhoornkoekoek;alvegjøk;kukawczyk rdzawy;Little Cuckoo;Little Cuckoo;Малая пиайя;kukavka malá;Little Cuckoo;Pygmégök;Little Cuckoo;Küçük Sincap Guguğu;Піая мала;Little Cuckoo
